PF01106	PF01828
PF01111	PF01833
PF01112	PF01841
PF01115	PF01846
PF01116	PF01849
PF01118	PF01851
PF01119	PF01853
PF01120	PF01866
PF01121	PF01868
PF01124	PF01872
PF01125	PF01873
PF01127	PF01875
PF01131	PF01876
PF01134	PF01878
PF01135	PF01883
PF01137	PF01885
PF01138	PF01894
PF01142	PF01896
PF01144	PF01931
PF01145	PF01933
PF01148	PF01936
PF01149	PF01937
PF01150	PF01940
PF01151	PF01981
PF01154	PF01984
PF01156	PF01987
PF01157	PF01988
PF01158	PF01989
PF01159	PF01990
PF01161	PF01991
PF01163	PF01997
PF01165	PF02020
PF01168	PF02036
PF01169	PF02037
PF01170	PF02089
PF01171	PF02096
PF01172	PF02110
PF01174	PF02127
PF01176	PF02128
PF01177	PF02141
PF01179	PF02142
PF01180	PF02144
PF01182	PF02145
PF01184	PF02146
PF01185	PF02148
PF01187	PF02149
PF01188	PF02152
PF01189	PF02153
PF01191	PF02167
PF01192	PF02170
PF01195	PF02171
PF01196	PF02178
PF01198	PF02179
PF01199	PF02181
PF01200	PF02184
PF01201	PF02185
PF01202	PF02190
PF01204	PF02194
PF01205	PF02199
PF01207	PF02200
PF01208	PF02233
PF01209	PF02259
PF01210	PF02265
PF01212	PF02284
PF01213	PF02291
PF01214	PF02297
PF01215	PF02347
PF01217	PF02353
PF01218	PF02358
PF01220	PF02359
PF01221	PF02364
PF01222	PF02366
PF01223	PF02373
PF01226	PF02374
PF01227	PF02375
PF01230	PF02383
PF01231	PF02386
PF01232	PF02390
PF01233	PF02391
PF01237	PF02403
PF01238	PF02410
PF01239	PF02417
PF01243	PF02469
PF01244	PF02502
PF01245	PF02515
PF01246	PF02516
PF01247	PF02517
PF01248	PF02518
PF01249	PF02522
PF01250	PF02524
PF01251	PF02535
PF01253	PF02537
PF01255	PF02538
PF01256	PF02560
PF01257	PF02566
PF01259	PF02567
PF01261	PF02574
PF01262	PF02602
PF01263	PF02615
PF01264	PF02617
PF01265	PF02626
PF01266	PF02627
PF01267	PF02628
